user_id,user_name,session_id,session_start,session_size,click_article_id,click_timestamp,click_environment,click_deviceGroup
0,Alice,15068254230001,1506825423000,2,157541,1506826828020,4,3
0,Alice,15068254230001,1506825423000,2,68866,1506826858020,4,3
1,Miguel,15068254260002,1506825426000,2,235840,1506827017951,4,1
1,Miguel,15068254260002,1506825426000,2,96663,1506827047951,4,1
2,Sophia,15068254350003,1506825435000,2,119592,1506827090575,4,1
2,Sophia,15068254350003,1506825435000,2,30970,1506827120575,4,1
3,Arthur,15068254420004,1506825442000,2,236065,1506827536942,4,3
3,Arthur,15068254420004,1506825442000,2,236294,1506827566942,4,3
4,Helena,15068255280005,1506825528000,2,48915,1506826927593,4,1
4,Helena,15068255280005,1506825528000,2,44488,1506826957593,4,1
5,Bernardo,15068255410006,1506825541000,3,168868,1506826884885,4,1
5,Bernardo,15068255410006,1506825541000,3,207122,1506827097562,4,1
5,Bernardo,15068255410006,1506825541000,3,286413,1506827127562,4,1
6,Valentina,15068255530007,1506825553000,2,202436,1506826872215,4,3
6,Valentina,15068255530007,1506825553000,2,288431,1506826902215,4,3
7,Heitor,15068255680008,1506825568000,2,235840,1506828125628,4,1
7,Heitor,15068255680008,1506825568000,2,284847,1506828155628,4,1
8,Laura,15068255730009,1506825573000,3,332114,1506826999683,4,3
8,Laura,15068255730009,1506825573000,3,284847,1506827438642,4,3
8,Laura,15068255730009,1506825573000,3,114161,1506827468642,4,3
9,Davi,150682559900010,1506825599000,2,284346,1506828088734,4,3
9,Davi,150682559900010,1506825599000,2,285412,1506828118734,4,3
10,Isabella,150682560200011,1506825602000,3,198420,1506826975475,4,1
10,Isabella,150682560200011,1506825602000,3,198322,1506827046578,4,1
10,Isabella,150682560200011,1506825602000,3,202436,1506827076578,4,1
11,Lorenzo,150682561700012,1506825617000,2,207122,1506827186038,4,3
11,Lorenzo,150682561700012,1506825617000,2,119592,1506827216038,4,3
12,Manuela,150682561700013,1506825617000,3,288431,1506828524266,4,3
12,Manuela,150682561700013,1506825617000,3,159359,1506828802674,4,3
12,Manuela,150682561700013,1506825617000,3,119592,1506828832674,4,3
13,Theo,150682562100014,1506825621000,3,255575,1506827699931,4,3
13,Theo,150682562100014,1506825621000,3,255340,1506827796953,4,3
13,Theo,150682562100014,1506825621000,3,255575,1506827826953,4,3
14,Julia,150682563600015,1506825636000,3,96663,1506828786870,4,4
14,Julia,150682563600015,1506825636000,3,145166,1506828813019,4,4
14,Julia,150682563600015,1506825636000,3,145166,1506828843019,4,4
15,Pedro,150682565300016,1506825653000,2,119592,1506827825581,4,4
15,Pedro,150682565300016,1506825653000,2,108854,1506827855581,4,4
16,Heloisa,150682566000017,1506825660000,7,237620,1506827187721,4,1
16,Heloisa,150682566000017,1506825660000,7,162286,1506858007709,4,1
16,Heloisa,150682566000017,1506825660000,7,157132,1506860972379,4,1
16,Heloisa,150682566000017,1506825660000,7,207122,1506861047752,4,1
16,Heloisa,150682566000017,1506825660000,7,206233,1506861117687,4,1
16,Heloisa,150682566000017,1506825660000,7,256163,1506861183535,4,1
